transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,status,payment_method,shipping_cost,calculated_amount,amount_difference
T083145,C06933,P0705,2023-01-01 12:11:49,1,38.46,38.46,20,completed,credit_card,9.36,38.46,0.0
T004473,C07355,P0695,2023-01-01 12:36:43,1,101.58,101.58,0,completed,debit_card,0.0,101.58,0.0
T045919,C01445,P0320,2023-01-01 12:50:54,1,12.89,12.89,10,completed,debit_card,5.97,12.89,0.0
T034780,C05788,P0292,2023-01-01 13:01:00,1,53.91,53.91,15,completed,debit_card,0.0,53.91,0.0
T104165,C03088,P0593,2023-01-01 13:24:34,1,29.36,29.36,0,completed,debit_card,4.43,29.36,0.0
T115411,C08291,P0265,2023-01-01 13:37:33,1,43.86,43.86,0,completed,credit_card,8.77,43.86,0.0
T053021,C06540,P0658,2023-01-01 13:47:21,1,85.97,85.97,0,completed,credit_card,0.0,85.97,0.0
T035648,C01680,P0732,2023-01-01 14:07:07,1,17.24,17.24,0,completed,paypal,4.17,17.24,0.0
T074662,C09267,P0970,2023-01-01 14:23:24,2,48.71,97.42,0,completed,credit_card,0.0,97.42,0.0
T015634,C07597,P0545,2023-01-01 14:23:47,1,34.81,34.81,20,completed,credit_card,5.46,34.81,0.0
T046874,C01708,P0523,2023-01-01 14:33:49,1,11.45,11.45,0,completed,paypal,9.63,11.45,0.0
T090252,C06862,P0732,2023-01-01 14:38:57,1,17.24,17.24,0,completed,bank_transfer,4.45,17.24,0.0
T050117,C01140,P0963,2023-01-01 14:53:44,1,20.14,20.14,0,completed,apple_pay,8.76,20.14,0.0
T003999,C07002,P0990,2023-01-01 15:11:56,2,53.0,106.0,0,completed,paypal,0.0,106.0,0.0
T102623,C03758,P0016,2023-01-01 15:34:45,1,37.26,37.26,0,completed,credit_card,5.92,37.26,0.0
T089378,C01531,P0058,2023-01-01 15:38:14,1,17.8,17.8,0,completed,credit_card,8.24,17.8,0.0
T091920,C03366,P0214,2023-01-01 15:47:04,1,32.94,32.94,0,completed,bank_transfer,8.47,32.94,0.0
T053997,C00745,P0785,2023-01-01 15:59:49,1,43.44,43.44,0,completed,debit_card,8.27,43.44,0.0
T061868,C05900,P0799,2023-01-01 16:05:35,1,146.47,146.47,0,completed,debit_card,0.0,146.47,0.0
T118271,C02266,P0532,2023-01-01 16:32:40,1,86.36,86.36,0,completed,debit_card,0.0,86.36,0.0
T045945,C06209,P0602,2023-01-01 16:34:35,1,17.39,17.39,0,completed,credit_card,8.08,17.39,0.0
T070045,C05626,P0073,2023-01-01 17:40:05,1,24.46,24.46,10,completed,credit_card,5.62,24.46,0.0
T070003,C02292,P0743,2023-01-01 17:53:51,2,13.52,27.04,5,completed,credit_card,8.63,27.04,0.0
T054436,C08238,P0155,2023-01-01 18:16:32,1,18.09,18.09,0,completed,apple_pay,8.61,18.09,0.0
T042537,C03415,P0683,2023-01-01 18:59:08,3,67.14,201.42,0,completed,debit_card,0.0,201.42000000000002,-2.842170943040401e-14
T062744,C06182,P0534,2023-01-01 19:16:40,1,10.83,10.83,10,completed,debit_card,8.96,10.83,0.0
T111178,C09017,P0929,2023-01-01 20:00:52,1,19.45,19.45,0,completed,credit_card,8.17,19.45,0.0
T046635,C04449,P0097,2023-01-01 20:04:32,1,46.71,46.71,0,completed,credit_card,4.83,46.71,0.0
T041839,C09703,P0829,2023-01-01 20:11:43,2,33.25,66.5,0,completed,google_pay,0.0,66.5,0.0
T093209,C08020,P0127,2023-01-01 20:15:44,1,7.7,7.7,10,completed,apple_pay,8.61,7.7,0.0
T115303,C08844,P0725,2023-01-01 20:46:40,2,67.98,135.97,30,completed,apple_pay,0.0,135.96,0.009999999999990905
T112513,C06798,P0433,2023-01-01 20:47:42,1,23.54,23.54,0,completed,google_pay,9.06,23.54,0.0
T094062,C07145,P0915,2023-01-01 21:08:12,1,77.27,77.27,0,completed,credit_card,0.0,77.27,0.0
T080060,C04794,P0128,2023-01-01 21:24:26,1,89.44,89.44,0,completed,credit_card,0.0,89.44,0.0
T108423,C00071,P0489,2023-01-01 21:25:41,1,39.88,39.88,0,completed,credit_card,6.69,39.88,0.0
T019253,C06820,P0503,2023-01-01 21:49:05,1,96.01,96.01,40,completed,google_pay,0.0,96.01,0.0
T110478,C03787,P0751,2023-01-01 22:51:53,1,31.32,31.32,0,completed,credit_card,4.32,31.32,0.0
T079950,C07987,P0854,2023-01-01 22:55:08,1,21.66,21.66,50,completed,debit_card,9.75,21.66,0.0
T036698,C01290,P0981,2023-01-01 23:03:38,3,45.13,135.38,20,completed,debit_card,0.0,135.39000000000001,-0.010000000000019327
T043656,C02651,P0319,2023-01-01 23:07:45,1,230.34,230.34,0,completed,credit_card,0.0,230.34,0.0
T089480,C01901,P0546,2023-01-01 23:24:26,2,41.75,83.5,0,completed,credit_card,0.0,83.5,0.0
T036092,C02867,P0825,2023-01-01 23:39:47,1,68.94,68.94,0,completed,google_pay,0.0,68.94,0.0
T099376,C09628,P0513,2023-01-01 23:57:16,1,14.73,14.73,0,completed,apple_pay,9.45,14.73,0.0
T081713,C04519,P0945,2023-01-01 23:59:40,1,45.62,45.62,40,completed,credit_card,7.45,45.62,0.0
T008210,C01631,P0581,2023-01-02 00:18:00,1,72.03,72.03,0,completed,paypal,0.0,72.03,0.0
T066587,C01248,P0747,2023-01-02 00:19:46,1,10.47,10.47,0,completed,paypal,8.2,10.47,0.0
T098661,C07129,P0040,2023-01-02 00:21:40,1,11.91,11.91,0,completed,debit_card,8.34,11.91,0.0
T011646,C06530,P0172,2023-01-02 00:27:34,1,68.73,68.73,0,completed,paypal,0.0,68.73,0.0
T073441,C01150,P0169,2023-01-02 00:34:26,1,28.02,28.02,20,completed,paypal,5.47,28.02,0.0
T095736,C08165,P0416,2023-01-02 00:37:57,1,456.5,456.5,0,completed,credit_card,0.0,456.5,0.0
T061589,C05825,P0120,2023-01-02 00:44:26,2,50.36,100.72,30,completed,credit_card,0.0,100.72,0.0
T034342,C07481,P0227,2023-01-02 01:15:39,1,60.95,60.95,0,completed,apple_pay,0.0,60.95,0.0
T029662,C07862,P0057,2023-01-02 01:45:46,1,196.18,196.18,20,completed,bank_transfer,0.0,196.18,0.0
T100378,C07251,P0187,2023-01-02 02:11:10,1,70.8,70.8,0,completed,debit_card,0.0,70.8,0.0
T022809,C06896,P0720,2023-01-02 02:35:12,1,20.86,20.86,40,completed,debit_card,5.82,20.86,0.0
T029036,C04416,P0188,2023-01-02 02:41:57,1,20.08,20.08,0,completed,credit_card,7.19,20.08,0.0
T024233,C08083,P0430,2023-01-02 03:38:32,1,62.73,62.73,0,completed,credit_card,0.0,62.73,0.0
T044482,C07316,P0096,2023-01-02 04:03:41,1,21.52,21.52,0,completed,apple_pay,9.72,21.52,0.0
T084247,C00171,P0461,2023-01-02 04:16:14,1,13.06,13.06,0,completed,apple_pay,6.46,13.06,0.0
T077476,C08571,P0215,2023-01-02 05:28:10,1,91.39,91.39,0,completed,credit_card,0.0,91.39,0.0
T050430,C07744,P0544,2023-01-02 05:30:02,1,40.89,40.89,0,completed,google_pay,7.93,40.89,0.0
T049995,C06301,P0869,2023-01-02 05:56:23,1,42.86,42.86,0,completed,credit_card,5.13,42.86,0.0
T047027,C04966,P0613,2023-01-02 06:33:43,2,38.11,76.22,0,completed,apple_pay,0.0,76.22,0.0
T084110,C01815,P0146,2023-01-02 06:42:17,1,20.43,20.43,0,completed,google_pay,7.34,20.43,0.0
T078660,C05263,P0181,2023-01-02 06:51:13,1,4.03,4.03,40,completed,google_pay,7.57,4.03,0.0
T036135,C04679,P0837,2023-01-02 06:51:30,1,7.34,7.34,0,completed,debit_card,7.67,7.34,0.0
T034014,C06242,P0989,2023-01-02 06:57:04,3,79.91,239.73,0,completed,bank_transfer,0.0,239.73,0.0
T076668,C03565,P0530,2023-01-02 07:03:53,2,25.75,51.5,0,completed,paypal,0.0,51.5,0.0
T017616,C05755,P0852,2023-01-02 07:04:57,1,29.25,29.25,0,completed,credit_card,8.33,29.25,0.0
T019969,C01255,P0919,2023-01-02 07:31:00,1,76.18,76.18,50,completed,apple_pay,0.0,76.18,0.0
T019574,C02866,P0522,2023-01-02 07:55:52,1,26.49,26.49,0,completed,paypal,8.5,26.49,0.0
T095439,C03776,P0575,2023-01-02 08:20:00,1,20.99,20.99,0,completed,debit_card,6.32,20.99,0.0
T005765,C08408,P0145,2023-01-02 09:01:25,1,182.31,182.31,40,completed,credit_card,0.0,182.31,0.0
T110309,C02835,P0544,2023-01-02 09:06:15,1,40.89,40.89,0,completed,debit_card,7.64,40.89,0.0
T056775,C00157,P0283,2023-01-02 09:37:16,1,31.72,31.72,10,completed,bank_transfer,8.33,31.72,0.0
T018644,C05340,P0358,2023-01-02 09:38:59,1,14.96,14.96,0,completed,apple_pay,4.76,14.96,0.0
T115290,C00700,P0702,2023-01-02 10:17:55,1,74.59,74.59,0,completed,debit_card,0.0,74.59,0.0
T112634,C00975,P0603,2023-01-02 10:41:34,1,13.88,13.88,15,completed,debit_card,7.96,13.88,0.0
T060547,C03862,P0379,2023-01-02 11:43:06,1,9.36,9.36,0,completed,credit_card,8.83,9.36,0.0
T067880,C03245,P0047,2023-01-02 12:01:33,1,35.22,35.22,0,completed,credit_card,9.54,35.22,0.0
T110728,C06112,P0864,2023-01-02 12:20:51,1,14.44,14.44,30,completed,credit_card,7.45,14.44,0.0
T061432,C08351,P0341,2023-01-02 12:39:45,1,21.48,21.48,0,completed,google_pay,8.77,21.48,0.0
T086579,C05680,P0594,2023-01-02 12:54:07,1,21.46,21.46,50,completed,google_pay,6.79,21.46,0.0
T069793,C08820,P0916,2023-01-02 12:59:44,1,136.05,136.05,25,completed,bank_transfer,0.0,136.05,0.0
T102575,C05292,P0587,2023-01-02 13:31:51,1,22.16,22.16,0,completed,paypal,8.29,22.16,0.0
T004682,C06680,P0956,2023-01-02 13:33:58,1,11.75,11.75,25,completed,bank_transfer,8.28,11.75,0.0
T090240,C08782,P0190,2023-01-02 13:34:45,1,58.5,58.5,0,completed,credit_card,0.0,58.5,0.0
T104109,C05434,P0605,2023-01-02 13:35:34,1,14.5,14.5,50,completed,debit_card,9.08,14.5,0.0
T006087,C08902,P0374,2023-01-02 13:36:57,1,12.66,12.66,0,completed,debit_card,6.21,12.66,0.0
T007815,C06529,P0482,2023-01-02 14:06:31,1,185.33,185.33,0,completed,paypal,0.0,185.33,0.0
T050541,C02692,P0867,2023-01-02 14:38:28,1,35.36,35.36,0,completed,debit_card,9.06,35.36,0.0
T063514,C06679,P0928,2023-01-02 14:48:06,1,15.24,15.24,0,completed,paypal,5.58,15.24,0.0
T114617,C08995,P0762,2023-01-02 15:21:58,1,19.29,19.29,0,completed,google_pay,9.47,19.29,0.0
T104524,C08049,P0534,2023-01-02 15:42:03,1,10.83,10.83,10,completed,credit_card,8.97,10.83,0.0
T027613,C01488,P0745,2023-01-02 15:42:35,1,105.02,105.02,0,completed,debit_card,0.0,105.02,0.0
T104936,C01386,P0070,2023-01-02 15:58:04,1,59.48,59.48,0,completed,paypal,0.0,59.48,0.0
T051559,C06540,P0623,2023-01-02 16:03:02,1,29.59,29.59,0,completed,credit_card,9.29,29.59,0.0
T017779,C08438,P0702,2023-01-02 16:07:38,1,74.59,74.59,0,completed,credit_card,0.0,74.59,0.0
T108256,C03296,P0788,2023-01-02 16:12:20,1,24.12,24.12,0,completed,debit_card,8.31,24.12,0.0
T027993,C00861,P0377,2023-01-02 16:58:45,1,38.44,38.44,50,completed,apple_pay,5.42,38.44,0.0
T084333,C08572,P0144,2023-01-02 17:06:04,1,35.09,35.09,0,completed,paypal,9.22,35.09,0.0
T098849,C04352,P0943,2023-01-02 17:11:24,1,14.86,14.86,0,completed,paypal,6.63,14.86,0.0
T077089,C05272,P0269,2023-01-02 17:31:42,2,27.11,54.22,20,completed,paypal,0.0,54.22,0.0
T040652,C08401,P0985,2023-01-02 18:21:14,1,24.84,24.84,0,completed,apple_pay,4.2,24.84,0.0
T056981,C05908,P0407,2023-01-02 18:23:05,1,114.41,114.41,0,completed,debit_card,0.0,114.41,0.0
T006248,C09219,P0405,2023-01-02 18:41:48,1,22.16,22.16,0,completed,apple_pay,7.4,22.16,0.0
T038445,C01754,P0352,2023-01-02 18:52:06,1,237.32,237.32,0,completed,credit_card,0.0,237.32,0.0
T076118,C00754,P0233,2023-01-02 19:14:40,1,23.76,23.76,0,completed,apple_pay,8.19,23.76,0.0
T027152,C03289,P0438,2023-01-02 19:28:12,1,99.34,99.34,0,completed,credit_card,0.0,99.34,0.0
T013649,C03974,P0245,2023-01-02 19:30:28,1,21.35,21.35,0,completed,credit_card,5.3,21.35,0.0
T113128,C08000,P0304,2023-01-02 19:33:17,1,90.37,90.37,0,completed,google_pay,0.0,90.37,0.0
T074979,C05191,P0911,2023-01-02 20:23:27,1,38.26,38.26,0,completed,credit_card,4.88,38.26,0.0
T062996,C08946,P0669,2023-01-02 20:36:09,1,20.59,20.59,0,completed,apple_pay,9.87,20.59,0.0
T053016,C06971,P0039,2023-01-02 21:09:10,1,38.89,38.89,0,completed,debit_card,9.03,38.89,0.0
T023847,C09746,P0506,2023-01-02 21:26:29,1,117.38,117.38,50,completed,debit_card,0.0,117.38,0.0
T110196,C01037,P0787,2023-01-02 21:41:08,1,5.87,5.87,15,completed,google_pay,5.93,5.87,0.0
T027061,C01790,P0119,2023-01-02 22:15:04,1,21.18,21.18,0,completed,apple_pay,4.05,21.18,0.0
T089425,C04999,P0081,2023-01-02 22:43:00,1,107.45,107.45,0,completed,paypal,0.0,107.45,0.0
T096919,C01581,P0098,2023-01-02 22:46:24,1,38.65,38.65,20,completed,credit_card,5.83,38.65,0.0
T077872,C08649,P0140,2023-01-02 22:57:03,1,15.96,15.96,0,completed,paypal,4.08,15.96,0.0
T060511,C06860,P0309,2023-01-02 23:02:01,1,53.32,53.32,0,completed,google_pay,0.0,53.32,0.0
T085816,C07369,P0830,2023-01-02 23:12:44,1,18.05,18.05,40,completed,apple_pay,6.6,18.05,0.0
T062065,C03175,P0229,2023-01-02 23:13:18,1,14.12,14.12,20,completed,apple_pay,4.09,14.12,0.0
T023033,C08090,P0288,2023-01-02 23:33:21,1,92.7,92.7,0,completed,debit_card,0.0,92.7,0.0
T002478,C09276,P0090,2023-01-02 23:38:48,1,5.71,5.71,0,completed,google_pay,4.57,5.71,0.0
T002079,C03670,P0875,2023-01-02 23:55:06,1,11.6,11.6,0,completed,credit_card,8.95,11.6,0.0
T091060,C01952,P0401,2023-01-03 00:06:41,1,92.42,92.42,0,completed,paypal,0.0,92.42,0.0
T080284,C08405,P0729,2023-01-03 00:06:53,1,17.88,17.88,0,completed,credit_card,9.21,17.88,0.0
T035067,C06692,P0693,2023-01-03 00:22:08,1,12.98,12.98,5,completed,debit_card,6.61,12.98,0.0
T058739,C07863,P0250,2023-01-03 00:35:34,1,24.99,24.99,0,completed,debit_card,4.84,24.99,0.0
T101126,C03136,P0166,2023-01-03 01:06:49,1,14.44,14.44,0,completed,credit_card,5.4,14.44,0.0
T021119,C03976,P0748,2023-01-03 01:27:25,1,27.8,27.8,0,completed,paypal,8.48,27.8,0.0
T077414,C08743,P0403,2023-01-03 01:53:23,2,37.76,75.52,0,completed,credit_card,0.0,75.52,0.0
T094603,C03654,P0986,2023-01-03 02:27:24,1,11.73,11.73,0,completed,paypal,5.15,11.73,0.0
T042195,C07861,P0696,2023-01-03 02:29:09,1,28.96,28.96,0,completed,credit_card,5.9,28.96,0.0
T095959,C01346,P0013,2023-01-03 02:31:28,1,10.75,10.75,0,completed,debit_card,7.12,10.75,0.0
T019862,C09633,P0479,2023-01-03 02:35:56,1,23.73,23.73,0,completed,google_pay,4.13,23.73,0.0
T080672,C00925,P0873,2023-01-03 03:00:45,1,32.59,32.59,0,completed,credit_card,8.14,32.59,0.0
T070925,C08022,P0257,2023-01-03 03:06:03,1,53.97,53.97,0,completed,debit_card,0.0,53.97,0.0
T033510,C01069,P0674,2023-01-03 03:13:41,1,13.81,13.81,15,completed,paypal,4.84,13.81,0.0
T090984,C02424,P0847,2023-01-03 03:14:57,1,58.45,58.45,40,completed,credit_card,0.0,58.45,0.0
T001634,C01190,P0125,2023-01-03 03:29:30,1,33.36,33.36,0,completed,bank_transfer,5.78,33.36,0.0
T045207,C05531,P0470,2023-01-03 03:30:17,1,133.8,133.8,0,completed,debit_card,0.0,133.8,0.0
T082624,C02300,P0556,2023-01-03 04:04:27,1,47.28,47.28,0,completed,debit_card,5.13,47.28,0.0
T005424,C00200,P0077,2023-01-03 04:10:59,1,38.84,38.84,0,completed,credit_card,6.93,38.84,0.0
T073867,C00757,P0324,2023-01-03 04:28:29,1,51.1,51.1,30,completed,debit_card,0.0,51.1,0.0
T047896,C02761,P0214,2023-01-03 04:34:11,1,32.94,32.94,0,completed,apple_pay,5.86,32.94,0.0
T106656,C03781,P0681,2023-01-03 04:35:12,1,36.33,36.33,0,completed,debit_card,8.61,36.33,0.0
T026022,C05532,P0889,2023-01-03 04:37:22,1,31.53,31.53,50,completed,paypal,5.31,31.53,0.0
T044181,C01145,P0337,2023-01-03 05:27:22,1,8.7,8.7,0,completed,google_pay,4.8,8.7,0.0
T017869,C05891,P0187,2023-01-03 05:29:28,1,70.8,70.8,0,completed,credit_card,0.0,70.8,0.0
T075981,C00916,P0782,2023-01-03 05:34:31,1,67.13,67.13,40,completed,credit_card,0.0,67.13,0.0
T080804,C00018,P0495,2023-01-03 05:34:46,1,38.15,38.15,0,completed,credit_card,5.93,38.15,0.0
T020694,C02137,P0668,2023-01-03 05:35:33,1,31.24,31.24,50,completed,credit_card,8.33,31.24,0.0
T089289,C01995,P0136,2023-01-03 06:28:01,1,110.43,110.43,0,completed,debit_card,0.0,110.43,0.0
T104597,C00009,P0090,2023-01-03 06:32:41,2,5.71,11.42,0,completed,debit_card,6.01,11.42,0.0
T078768,C03742,P0632,2023-01-03 06:45:49,1,69.38,69.38,0,completed,debit_card,0.0,69.38,0.0
T095725,C05351,P0543,2023-01-03 06:46:33,1,18.96,18.96,0,completed,credit_card,9.04,18.96,0.0
T094455,C01415,P0265,2023-01-03 07:08:30,1,43.86,43.86,0,completed,apple_pay,5.41,43.86,0.0
T047636,C00737,P0491,2023-01-03 07:14:03,1,89.06,89.06,0,completed,debit_card,0.0,89.06,0.0
T098553,C07337,P0379,2023-01-03 07:34:48,1,9.36,9.36,0,completed,credit_card,7.04,9.36,0.0
T000322,C00061,P0628,2023-01-03 07:36:28,2,12.5,25.0,0,completed,credit_card,4.74,25.0,0.0
T005289,C00746,P0167,2023-01-03 07:46:12,1,18.52,18.52,5,completed,paypal,6.63,18.52,0.0
T117001,C02991,P0929,2023-01-03 07:46:31,1,19.45,19.45,0,completed,credit_card,4.94,19.45,0.0
T024083,C06280,P0023,2023-01-03 07:48:43,1,23.9,23.9,40,completed,credit_card,5.34,23.9,0.0
T018859,C06196,P0743,2023-01-03 08:21:31,1,13.52,13.52,5,completed,credit_card,6.9,13.52,0.0
T062144,C01139,P0301,2023-01-03 08:27:38,1,34.47,34.47,0,completed,credit_card,9.58,34.47,0.0
T009093,C07367,P0205,2023-01-03 08:42:55,1,17.21,17.21,0,completed,debit_card,4.21,17.21,0.0
T035780,C08228,P0126,2023-01-03 08:49:52,1,41.36,41.36,25,completed,apple_pay,9.52,41.36,0.0
T066542,C09165,P0905,2023-01-03 08:50:47,1,29.91,29.91,0,completed,credit_card,4.82,29.91,0.0
T119864,C00865,P0764,2023-01-03 09:00:13,1,12.94,12.94,0,completed,paypal,6.76,12.94,0.0
T058659,C08537,P0063,2023-01-03 09:09:12,1,22.74,22.74,0,completed,credit_card,6.52,22.74,0.0
T069581,C08694,P0691,2023-01-03 10:06:12,1,23.3,23.3,0,completed,credit_card,8.67,23.3,0.0
T036685,C07492,P0537,2023-01-03 10:08:05,1,14.3,14.3,30,completed,apple_pay,6.82,14.3,0.0
T035382,C09823,P0528,2023-01-03 10:25:25,1,18.87,18.87,0,completed,paypal,4.6,18.87,0.0
T014839,C01249,P0440,2023-01-03 10:30:52,1,14.71,14.71,30,completed,debit_card,9.94,14.71,0.0
T013764,C08537,P0755,2023-01-03 10:34:04,1,37.35,37.35,0,completed,credit_card,6.09,37.35,0.0
T085612,C01254,P0658,2023-01-03 10:45:38,1,85.97,85.97,0,completed,credit_card,0.0,85.97,0.0
T118720,C05294,P0068,2023-01-03 10:54:42,1,21.47,21.47,0,completed,credit_card,4.29,21.47,0.0
T054215,C02172,P0789,2023-01-03 11:06:56,1,26.58,26.58,50,completed,credit_card,5.29,26.58,0.0
T104516,C01849,P0046,2023-01-03 11:11:49,1,142.47,142.47,10,completed,credit_card,0.0,142.47,0.0
T044725,C01305,P0465,2023-01-03 11:14:49,1,359.8,359.8,0,completed,apple_pay,0.0,359.8,0.0
T102008,C00798,P0855,2023-01-03 11:49:36,1,12.33,12.33,0,completed,debit_card,5.58,12.33,0.0
T065064,C06350,P0257,2023-01-03 11:50:19,1,53.97,53.97,0,completed,apple_pay,0.0,53.97,0.0
T060864,C07991,P0649,2023-01-03 12:25:09,1,22.78,22.78,0,completed,paypal,5.22,22.78,0.0
T064665,C01006,P0804,2023-01-03 13:01:45,1,10.01,10.01,0,completed,credit_card,7.74,10.01,0.0
T116655,C04776,P0832,2023-01-03 13:11:53,1,39.46,39.46,0,completed,debit_card,6.02,39.46,0.0
T071841,C02498,P0539,2023-01-03 13:13:07,1,64.98,64.98,0,completed,paypal,0.0,64.98,0.0
T021587,C01217,P0377,2023-01-03 13:15:49,1,38.44,38.44,50,completed,debit_card,8.9,38.44,0.0
T036290,C03941,P0448,2023-01-03 13:17:47,1,20.13,20.13,0,completed,paypal,9.75,20.13,0.0
T046418,C09619,P0034,2023-01-03 13:23:33,1,11.66,11.66,40,completed,google_pay,5.26,11.66,0.0
T011807,C01816,P0154,2023-01-03 13:29:45,2,76.48,152.96,0,completed,apple_pay,0.0,152.96,0.0
T032183,C02961,P0399,2023-01-03 13:36:13,1,38.63,38.63,0,completed,google_pay,8.3,38.63,0.0
T046642,C04587,P0718,2023-01-03 13:39:27,1,36.95,36.95,0,completed,bank_transfer,6.11,36.95,0.0
T080954,C06986,P0668,2023-01-03 13:42:46,1,31.24,31.24,50,completed,bank_transfer,4.83,31.24,0.0
