customer_id,cluster,business_segment,recency_days,frequency,monetary
C00216,0,At Risk,154.0,3.0,211.25
C00217,2,Potential Loyalists,51.0,4.0,490.86
C00218,1,Champions,32.0,22.0,2134.53
C00219,4,Loyal Customers,138.0,8.0,410.74
C00220,0,At Risk,146.0,4.0,109.43
C00221,2,Potential Loyalists,51.0,6.0,284.94
C00222,0,At Risk,177.0,7.0,424.88
C00223,0,At Risk,233.0,4.0,231.5
C00224,3,Dormant / Low Value,29.0,1.0,40.46
C00225,1,Champions,27.0,19.0,3428.1600000000003
C00226,0,At Risk,104.0,4.0,158.32
C00227,4,Loyal Customers,38.0,6.0,2001.43
C00228,4,Loyal Customers,106.0,8.0,309.33000000000004
C00229,0,At Risk,270.0,3.0,208.65
C00230,3,Dormant / Low Value,242.0,1.0,27.54
C00231,4,Loyal Customers,44.0,13.0,1119.41
C00232,-1,No Purchase,,0.0,0.0
C00233,0,At Risk,260.0,7.0,165.17
C00234,1,Champions,29.0,17.0,1181.76
C00235,4,Loyal Customers,99.0,6.0,738.66
C00236,2,Potential Loyalists,34.0,6.0,617.05
C00237,0,At Risk,221.0,5.0,212.78
C00238,0,At Risk,99.0,4.0,210.3
C00239,3,Dormant / Low Value,434.0,1.0,53.83
C00240,1,Champions,22.0,12.0,1870.72
C00241,2,Potential Loyalists,15.0,6.0,280.97
C00242,2,Potential Loyalists,1.0,6.0,638.85
C00243,2,Potential Loyalists,2.0,7.0,176.20999999999998
C00244,2,Potential Loyalists,49.0,6.0,415.69
C00245,4,Loyal Customers,65.0,17.0,1339.94
C00246,2,Potential Loyalists,18.0,2.0,271.89
C00247,4,Loyal Customers,84.0,6.0,572.19
C00248,0,At Risk,128.0,5.0,144.37
C00249,0,At Risk,170.0,5.0,262.4
C00250,4,Loyal Customers,163.0,7.0,492.21
C00251,1,Champions,17.0,17.0,1544.5
C00252,2,Potential Loyalists,26.0,7.0,674.47
C00253,0,At Risk,357.0,2.0,472.47
C00254,0,At Risk,76.0,6.0,252.42
C00255,1,Champions,27.0,15.0,1627.85
C00256,4,Loyal Customers,76.0,13.0,562.39
C00257,0,At Risk,361.0,3.0,130.95
C00258,0,At Risk,151.0,4.0,338.36
C00259,1,Champions,1.0,8.0,841.85
C00260,0,At Risk,104.0,4.0,238.29
C00261,2,Potential Loyalists,6.0,4.0,131.97
C00262,0,At Risk,215.0,5.0,629.5200000000001
C00263,3,Dormant / Low Value,289.0,2.0,41.51
C00264,4,Loyal Customers,59.0,11.0,1218.61
C00265,0,At Risk,271.0,3.0,116.57
C00266,2,Potential Loyalists,25.0,5.0,174.54
C00267,2,Potential Loyalists,16.0,6.0,226.55
C00268,0,At Risk,389.0,2.0,307.66
C00269,3,Dormant / Low Value,89.0,2.0,103.7
C00270,2,Potential Loyalists,23.0,3.0,247.03
C00271,0,At Risk,75.0,4.0,110.9
C00272,4,Loyal Customers,142.0,7.0,606.97
C00273,4,Loyal Customers,97.0,9.0,566.6
C00274,4,Loyal Customers,40.0,10.0,401.56
C00275,0,At Risk,171.0,5.0,143.73000000000002
C00276,4,Loyal Customers,64.0,7.0,522.94
C00277,4,Loyal Customers,60.0,12.0,1685.27
C00278,1,Champions,30.0,20.0,1259.8
C00279,1,Champions,22.0,21.0,1833.25
C00280,0,At Risk,115.0,3.0,280.35
C00281,0,At Risk,79.0,4.0,237.25
C00282,0,At Risk,575.0,3.0,255.96
C00283,3,Dormant / Low Value,237.0,1.0,166.55
C00284,4,Loyal Customers,167.0,6.0,678.51
C00285,4,Loyal Customers,68.0,8.0,474.81
C00286,3,Dormant / Low Value,238.0,2.0,65.58
C00287,4,Loyal Customers,120.0,9.0,393.51
C00288,0,At Risk,99.0,5.0,86.81
C00289,3,Dormant / Low Value,727.0,1.0,19.82
C00290,4,Loyal Customers,168.0,7.0,681.69
C00291,3,Dormant / Low Value,263.0,2.0,69.36
C00292,4,Loyal Customers,118.0,14.0,453.38
C00293,0,At Risk,233.0,3.0,311.56
C00294,4,Loyal Customers,117.0,10.0,478.93
C00295,1,Champions,34.0,14.0,1052.76
C00296,3,Dormant / Low Value,442.0,1.0,34.25
C00297,4,Loyal Customers,103.0,8.0,342.01
C00298,4,Loyal Customers,83.0,13.0,1148.56
C00299,2,Potential Loyalists,23.0,4.0,142.57999999999998
C00300,1,Champions,9.0,14.0,479.39
C00301,3,Dormant / Low Value,241.0,1.0,23.73
C00302,4,Loyal Customers,31.0,6.0,861.41
C00303,0,At Risk,433.0,3.0,287.26
C00304,1,Champions,31.0,21.0,1174.0
C00305,3,Dormant / Low Value,407.0,3.0,91.6
C00306,4,Loyal Customers,29.0,8.0,569.22
C00307,0,At Risk,210.0,5.0,147.73
C00308,2,Potential Loyalists,44.0,4.0,218.19
C00309,0,At Risk,167.0,3.0,258.94
C00310,4,Loyal Customers,30.0,9.0,572.6800000000001
C00311,4,Loyal Customers,262.0,10.0,591.76
C00312,2,Potential Loyalists,1.0,2.0,175.94
C00313,0,At Risk,73.0,7.0,130.93
C00314,2,Potential Loyalists,12.0,7.0,210.91
C00315,4,Loyal Customers,72.0,9.0,621.5
C00316,2,Potential Loyalists,5.0,8.0,348.71
C00317,4,Loyal Customers,54.0,8.0,511.6
C00318,3,Dormant / Low Value,625.0,1.0,26.26
C00319,1,Champions,2.0,15.0,777.45
C00320,1,Champions,5.0,16.0,1070.67
C00321,0,At Risk,78.0,5.0,156.32
C00322,2,Potential Loyalists,24.0,6.0,483.5
C00323,4,Loyal Customers,186.0,7.0,488.77
C00324,1,Champions,5.0,17.0,1764.62
C00325,1,Champions,17.0,11.0,1145.85
C00326,4,Loyal Customers,99.0,13.0,1168.26
C00327,2,Potential Loyalists,43.0,4.0,551.37
C00328,2,Potential Loyalists,10.0,5.0,683.48
C00329,0,At Risk,249.0,3.0,206.44
C00330,4,Loyal Customers,86.0,8.0,396.0
C00331,0,At Risk,290.0,5.0,306.69
C00332,0,At Risk,167.0,5.0,366.61
C00333,1,Champions,45.0,18.0,1693.44
C00334,3,Dormant / Low Value,115.0,2.0,76.6
C00335,3,Dormant / Low Value,517.0,1.0,27.54
C00336,0,At Risk,129.0,4.0,651.81
C00337,0,At Risk,137.0,4.0,195.54
C00338,3,Dormant / Low Value,336.0,2.0,40.63
C00339,1,Champions,34.0,16.0,1226.47
C00340,2,Potential Loyalists,54.0,5.0,434.81000000000006
C00341,-1,No Purchase,,0.0,0.0
C00342,1,Champions,17.0,12.0,779.58
C00343,4,Loyal Customers,62.0,6.0,442.7
C00344,1,Champions,18.0,12.0,1080.37
C00345,1,Champions,5.0,12.0,2331.7200000000003
C00346,1,Champions,5.0,21.0,3286.52
C00347,2,Potential Loyalists,15.0,6.0,125.15
C00348,4,Loyal Customers,87.0,7.0,602.5899999999999
C00349,3,Dormant / Low Value,359.0,3.0,86.17
C00350,2,Potential Loyalists,4.0,6.0,655.11
C00351,0,At Risk,69.0,4.0,340.86
C00352,1,Champions,1.0,11.0,1785.41
C00353,4,Loyal Customers,95.0,6.0,707.9699999999999
C00354,4,Loyal Customers,44.0,10.0,707.8299999999999
C00355,0,At Risk,176.0,6.0,451.13
C00356,4,Loyal Customers,90.0,10.0,704.27
C00357,0,At Risk,200.0,6.0,366.98
C00358,0,At Risk,261.0,7.0,197.04
C00359,4,Loyal Customers,40.0,9.0,1093.42
C00360,4,Loyal Customers,79.0,15.0,1020.03
C00361,0,At Risk,243.0,5.0,545.39
C00362,3,Dormant / Low Value,170.0,2.0,111.74
C00363,0,At Risk,207.0,6.0,417.62
C00364,1,Champions,13.0,11.0,768.86
C00365,4,Loyal Customers,47.0,6.0,605.41
C00366,0,At Risk,406.0,3.0,603.14
C00367,1,Champions,7.0,13.0,1021.84
C00368,0,At Risk,327.0,6.0,698.62
C00369,1,Champions,2.0,26.0,4138.389999999999
C00370,4,Loyal Customers,58.0,6.0,635.1
C00371,3,Dormant / Low Value,261.0,1.0,58.49
C00372,4,Loyal Customers,99.0,8.0,1227.81
C00373,0,At Risk,549.0,3.0,219.23
C00374,2,Potential Loyalists,11.0,4.0,103.22
C00375,0,At Risk,370.0,4.0,412.91
C00376,4,Loyal Customers,45.0,15.0,680.12
C00377,0,At Risk,113.0,5.0,252.94
C00378,4,Loyal Customers,84.0,8.0,762.5600000000001
C00379,1,Champions,11.0,12.0,1762.5
C00380,0,At Risk,259.0,5.0,445.2
C00381,1,Champions,7.0,21.0,1354.12
C00382,4,Loyal Customers,41.0,12.0,443.41
C00383,1,Champions,20.0,8.0,992.53
C00384,2,Potential Loyalists,52.0,4.0,307.02
C00385,3,Dormant / Low Value,334.0,1.0,119.11
C00386,0,At Risk,158.0,4.0,801.3299999999999
C00387,3,Dormant / Low Value,310.0,2.0,107.82
C00388,4,Loyal Customers,54.0,5.0,1723.0
C00389,1,Champions,11.0,13.0,1270.05
C00390,4,Loyal Customers,174.0,12.0,898.36
C00391,0,At Risk,231.0,4.0,858.4000000000001
C00392,2,Potential Loyalists,3.0,7.0,451.12
C00393,1,Champions,25.0,10.0,500.89
C00394,3,Dormant / Low Value,150.0,1.0,53.97
C00395,0,At Risk,180.0,3.0,162.63
C00396,2,Potential Loyalists,13.0,5.0,404.7
C00397,3,Dormant / Low Value,166.0,1.0,35.6
C00398,0,At Risk,214.0,6.0,432.41
C00399,1,Champions,8.0,12.0,1272.48
C00400,4,Loyal Customers,99.0,9.0,934.28
C00401,4,Loyal Customers,74.0,14.0,1232.5
C00402,4,Loyal Customers,155.0,12.0,710.34
C00403,3,Dormant / Low Value,679.0,1.0,29.88
C00404,3,Dormant / Low Value,54.0,1.0,106.44
C00405,4,Loyal Customers,110.0,18.0,1165.29
C00406,2,Potential Loyalists,16.0,6.0,194.02
C00407,4,Loyal Customers,45.0,13.0,1355.68
C00408,2,Potential Loyalists,18.0,7.0,515.95
C00409,0,At Risk,60.0,3.0,150.75
C00410,4,Loyal Customers,47.0,10.0,1057.02
C00411,4,Loyal Customers,99.0,11.0,955.84
C00412,4,Loyal Customers,94.0,7.0,489.19
C00413,4,Loyal Customers,77.0,18.0,1420.61
C00414,2,Potential Loyalists,6.0,4.0,176.62
C00415,3,Dormant / Low Value,299.0,2.0,119.12
C00416,3,Dormant / Low Value,684.0,1.0,41.29
C00417,1,Champions,37.0,14.0,775.11
C00418,0,At Risk,163.0,3.0,351.87
C00419,1,Champions,52.0,18.0,1901.4
C00420,4,Loyal Customers,45.0,10.0,1554.21
C00421,3,Dormant / Low Value,376.0,1.0,63.78
C00422,-1,No Purchase,,0.0,0.0
C00423,3,Dormant / Low Value,270.0,2.0,147.62
C00424,0,At Risk,160.0,3.0,138.59
C00425,1,Champions,19.0,14.0,1260.93
C00426,0,At Risk,103.0,6.0,159.5
C00427,4,Loyal Customers,103.0,9.0,566.53
C00428,0,At Risk,76.0,2.0,155.98000000000002
C00429,4,Loyal Customers,96.0,10.0,343.63
C00430,4,Loyal Customers,224.0,16.0,1047.36
C00431,4,Loyal Customers,47.0,14.0,930.74
C00432,2,Potential Loyalists,32.0,8.0,208.67
C00433,4,Loyal Customers,60.0,12.0,661.69
C00434,0,At Risk,395.0,4.0,233.35
C00435,2,Potential Loyalists,51.0,5.0,238.18
C00436,2,Potential Loyalists,36.0,2.0,145.62
C00437,2,Potential Loyalists,28.0,5.0,221.03
C00438,4,Loyal Customers,73.0,7.0,395.4
C00439,4,Loyal Customers,50.0,7.0,749.47
C00440,1,Champions,45.0,21.0,1330.18
C00441,0,At Risk,68.0,4.0,341.62
C00442,4,Loyal Customers,50.0,9.0,343.82
C00443,0,At Risk,304.0,3.0,156.59
C00444,0,At Risk,123.0,4.0,259.14
C00445,2,Potential Loyalists,8.0,3.0,1028.6
C00446,0,At Risk,261.0,3.0,832.81
C00447,4,Loyal Customers,78.0,8.0,329.06
C00448,0,At Risk,380.0,3.0,224.92
C00449,4,Loyal Customers,39.0,9.0,761.16
C00450,3,Dormant / Low Value,485.0,1.0,237.57
C00451,1,Champions,13.0,15.0,947.44
C00452,4,Loyal Customers,43.0,8.0,532.79
C00453,3,Dormant / Low Value,277.0,2.0,43.03
C00454,3,Dormant / Low Value,450.0,1.0,38.11
C00455,0,At Risk,73.0,3.0,391.59
C00456,3,Dormant / Low Value,198.0,1.0,17.21
C00457,4,Loyal Customers,50.0,9.0,724.76
C00458,4,Loyal Customers,97.0,11.0,899.4200000000001
C00459,3,Dormant / Low Value,566.0,2.0,75.66
C00460,2,Potential Loyalists,34.0,4.0,125.69
C00461,0,At Risk,667.0,1.0,1006.26
C00462,1,Champions,17.0,15.0,3421.04
C00463,4,Loyal Customers,125.0,6.0,562.71
C00464,0,At Risk,59.0,5.0,309.46000000000004
C00465,4,Loyal Customers,176.0,6.0,751.1800000000001
C00466,4,Loyal Customers,87.0,13.0,745.37
C00467,1,Champions,30.0,12.0,785.35
C00468,0,At Risk,159.0,2.0,405.6
C00469,4,Loyal Customers,44.0,9.0,746.47
C00470,2,Potential Loyalists,18.0,6.0,756.69
C00471,3,Dormant / Low Value,313.0,3.0,102.49
C00472,3,Dormant / Low Value,112.0,1.0,43.06
C00473,3,Dormant / Low Value,471.0,1.0,10.33
C00474,0,At Risk,572.0,2.0,303.7
C00475,0,At Risk,235.0,6.0,622.8199999999999
C00476,4,Loyal Customers,208.0,9.0,348.06
C00477,0,At Risk,163.0,4.0,87.75
C00478,3,Dormant / Low Value,288.0,3.0,88.82000000000001
C00479,0,At Risk,97.0,6.0,382.96
C00480,4,Loyal Customers,95.0,9.0,1970.73
C00481,3,Dormant / Low Value,321.0,1.0,20.02
C00482,1,Champions,2.0,9.0,639.4
C00483,0,At Risk,70.0,3.0,213.8
C00484,2,Potential Loyalists,8.0,5.0,496.04
C00485,4,Loyal Customers,69.0,9.0,1618.0500000000002
C00486,0,At Risk,270.0,4.0,95.15
C00487,-1,No Purchase,,0.0,0.0
C00488,2,Potential Loyalists,59.0,6.0,355.97
C00489,0,At Risk,107.0,5.0,176.55
C00490,1,Champions,32.0,11.0,806.88
C00491,4,Loyal Customers,219.0,6.0,1631.43
C00492,4,Loyal Customers,75.0,9.0,782.04
C00493,4,Loyal Customers,142.0,11.0,506.09
C00494,4,Loyal Customers,112.0,13.0,988.39
C00495,4,Loyal Customers,153.0,9.0,524.98
C00496,2,Potential Loyalists,37.0,5.0,445.04
C00497,4,Loyal Customers,77.0,9.0,819.89
C00498,2,Potential Loyalists,4.0,5.0,639.3900000000001
C00499,0,At Risk,74.0,4.0,112.46
C00500,1,Champions,17.0,13.0,618.63
C00501,1,Champions,1.0,26.0,2763.73
C00502,1,Champions,44.0,22.0,749.3
C00503,2,Potential Loyalists,11.0,6.0,553.78
C00504,2,Potential Loyalists,34.0,6.0,181.85
C00505,1,Champions,24.0,9.0,1122.6799999999998
C00506,1,Champions,1.0,12.0,1266.6699999999998
C00507,1,Champions,35.0,12.0,2027.07
C00508,4,Loyal Customers,174.0,6.0,705.88
C00509,0,At Risk,104.0,4.0,463.08
C00510,0,At Risk,367.0,4.0,137.42000000000002
C00511,4,Loyal Customers,54.0,8.0,273.4
C00512,0,At Risk,192.0,6.0,140.98
C00513,0,At Risk,331.0,3.0,229.61
C00514,4,Loyal Customers,107.0,7.0,466.2
C00515,2,Potential Loyalists,3.0,3.0,381.87
C00516,2,Potential Loyalists,11.0,6.0,396.69
C00517,4,Loyal Customers,32.0,10.0,570.63
C00518,-1,No Purchase,,0.0,0.0
C00519,4,Loyal Customers,43.0,14.0,880.6
C00520,4,Loyal Customers,47.0,13.0,1289.38
C00521,0,At Risk,228.0,6.0,475.13
C00522,2,Potential Loyalists,9.0,5.0,318.65
C00523,2,Potential Loyalists,32.0,5.0,243.1
C00524,-1,No Purchase,,0.0,0.0
C00525,0,At Risk,54.0,4.0,107.55
C00526,0,At Risk,539.0,2.0,203.11
C00527,-1,No Purchase,,0.0,0.0
C00528,1,Champions,3.0,8.0,816.4799999999999
C00529,0,At Risk,271.0,4.0,105.35
C00530,4,Loyal Customers,46.0,8.0,437.83
C00531,4,Loyal Customers,28.0,8.0,756.28
C00532,0,At Risk,223.0,3.0,114.04
C00533,4,Loyal Customers,102.0,10.0,724.14
C00534,3,Dormant / Low Value,109.0,1.0,91.72
C00535,0,At Risk,54.0,3.0,221.51
C00536,0,At Risk,166.0,4.0,114.44
C00537,0,At Risk,173.0,6.0,383.65
C00538,2,Potential Loyalists,37.0,5.0,147.07
C00539,4,Loyal Customers,64.0,4.0,886.92
C00540,0,At Risk,175.0,2.0,165.87
C00541,1,Champions,15.0,11.0,953.27
C00542,1,Champions,39.0,13.0,1378.65
C00543,3,Dormant / Low Value,661.0,1.0,40.71
C00544,3,Dormant / Low Value,91.0,1.0,37.69
C00545,2,Potential Loyalists,50.0,5.0,399.56
C00546,0,At Risk,67.0,3.0,1030.23
C00547,0,At Risk,298.0,4.0,208.14
